,Susceptible,Infected,Recovered,Death,Hospitalization,Severe
0,0.978,0.013,0.0,0.0,0.0,0.0
1,0.967,0.024,0.0,0.0,0.0,0.0
2,0.948,0.043,0.0,0.0,0.0,0.0
3,0.917,0.074,0.0,0.0,0.0,0.0
4,0.869,0.122,0.0,0.0,0.0,0.0
5,0.868,0.123,0.0,0.0,0.0,0.0
6,0.867,0.124,0.0,0.0,0.0,0.0
7,0.866,0.125,0.0,0.0,0.0,0.0
8,0.865,0.126,0.0,0.0,0.001,0.0
9,0.864,0.127,0.0,0.0,0.002,0.0
10,0.863,0.128,0.0,0.0,0.003,0.0
11,0.862,0.129,0.0,0.0,0.005,0.0
12,0.861,0.13,0.0,0.0,0.007,0.0
13,0.86,0.129,0.002,0.0,0.012,0.002
14,0.859,0.129,0.003,0.0,0.013,0.004
15,0.858,0.129,0.004,0.0,0.014,0.007
16,0.857,0.128,0.006,0.0,0.014,0.008
17,0.856,0.124,0.011,0.0,0.018,0.008
18,0.855,0.121,0.015,0.0,0.018,0.008
19,0.854,0.114,0.023,0.0,0.017,0.008
20,0.853,0.108,0.03,0.0,0.016,0.008
21,0.852,0.103,0.036,0.0,0.019,0.01
22,0.851,0.095,0.045,0.0,0.021,0.009
23,0.85,0.083,0.057,0.001,0.015,0.006
24,0.849,0.075,0.066,0.001,0.013,0.005
25,0.848,0.069,0.073,0.001,0.012,0.005
26,0.847,0.058,0.085,0.001,0.009,0.003
27,0.846,0.05,0.094,0.001,0.007,0.002
28,0.814,0.078,0.098,0.001,0.007,0.003
29,0.77,0.114,0.106,0.001,0.009,0.003
30,0.707,0.171,0.112,0.001,0.008,0.004
31,0.613,0.262,0.115,0.001,0.008,0.003
32,0.493,0.378,0.119,0.001,0.006,0.002
33,0.369,0.497,0.124,0.001,0.004,0.001
34,0.242,0.622,0.126,0.001,0.005,0.001
35,0.151,0.712,0.127,0.001,0.007,0.003
36,0.087,0.776,0.127,0.001,0.009,0.004
37,0.047,0.815,0.128,0.001,0.009,0.004
38,0.028,0.831,0.131,0.001,0.012,0.003
39,0.015,0.843,0.132,0.001,0.017,0.004
40,0.008,0.849,0.133,0.001,0.024,0.006
41,0.004,0.85,0.136,0.001,0.038,0.008
42,0.002,0.848,0.14,0.001,0.052,0.01
43,0.001,0.84,0.144,0.006,0.059,0.01
44,0.0,0.828,0.15,0.013,0.059,0.012
45,0.0,0.809,0.162,0.02,0.064,0.013
46,0.0,0.788,0.178,0.025,0.076,0.013
47,0.0,0.762,0.195,0.034,0.082,0.013
48,0.0,0.721,0.227,0.043,0.088,0.013
49,0.0,0.682,0.261,0.048,0.089,0.011
50,0.0,0.64,0.3,0.051,0.093,0.012
51,0.0,0.585,0.347,0.059,0.097,0.011
52,0.0,0.527,0.396,0.068,0.086,0.009
53,0.0,0.474,0.444,0.073,0.073,0.007
54,0.0,0.413,0.502,0.076,0.076,0.008
55,0.0,0.363,0.55,0.078,0.068,0.007
56,0.0,0.31,0.6,0.081,0.061,0.007
57,0.0,0.256,0.65,0.085,0.049,0.006
58,0.0,0.212,0.693,0.086,0.041,0.007
59,0.0,0.179,0.725,0.087,0.03,0.006
60,0.0,0.149,0.755,0.087,0.023,0.003
61,0.0,0.115,0.789,0.087,0.017,0.003
62,0.0,0.091,0.813,0.087,0.017,0.003
63,0.0,0.069,0.835,0.087,0.012,0.001
64,0.0,0.055,0.849,0.087,0.008,0.002
65,0.0,0.041,0.863,0.087,0.008,0.002
66,0.0,0.031,0.873,0.087,0.008,0.002
67,0.0,0.027,0.877,0.087,0.008,0.002
68,0.0,0.018,0.886,0.087,0.006,0.001
69,0.0,0.014,0.89,0.087,0.006,0.001
70,0.0,0.009,0.895,0.087,0.004,0.001
71,0.0,0.006,0.898,0.087,0.004,0.001
72,0.0,0.005,0.899,0.087,0.004,0.001
73,0.0,0.004,0.9,0.087,0.004,0.001
74,0.0,0.003,0.901,0.087,0.003,0.001
75,0.0,0.002,0.902,0.087,0.002,0.001
76,0.0,0.001,0.903,0.087,0.001,0.0
77,0.0,0.001,0.903,0.087,0.001,0.0
78,0.0,0.001,0.903,0.087,0.001,0.0
79,0.0,0.001,0.903,0.087,0.001,0.0
80,0.0,0.0,0.903,0.088,0.0,0.0
81,0.0,0.0,0.903,0.088,0.0,0.0
82,0.0,0.0,0.903,0.088,0.0,0.0
83,0.0,0.0,0.903,0.088,0.0,0.0
84,0.0,0.0,0.903,0.088,0.0,0.0
85,0.0,0.0,0.903,0.088,0.0,0.0
86,0.0,0.0,0.903,0.088,0.0,0.0
87,0.0,0.0,0.903,0.088,0.0,0.0
88,0.0,0.0,0.903,0.088,0.0,0.0
89,0.0,0.0,0.903,0.088,0.0,0.0
