,Susceptible,Infected,Recovered,Death,Hospitalization,Severe
0,0.984,0.009,0.0,0.0,0.0,0.0
1,0.977,0.016,0.0,0.0,0.0,0.0
2,0.964,0.029,0.0,0.0,0.0,0.0
3,0.942,0.051,0.0,0.0,0.0,0.0
4,0.933,0.06,0.0,0.0,0.0,0.0
5,0.931,0.062,0.0,0.0,0.0,0.0
6,0.93,0.063,0.0,0.0,0.0,0.0
7,0.929,0.064,0.0,0.0,0.0,0.0
8,0.928,0.065,0.0,0.0,0.001,0.0
9,0.927,0.066,0.0,0.0,0.001,0.0
10,0.926,0.067,0.0,0.0,0.001,0.0
11,0.925,0.068,0.0,0.0,0.002,0.0
12,0.924,0.069,0.0,0.0,0.002,0.0
13,0.923,0.07,0.0,0.0,0.002,0.001
14,0.922,0.071,0.0,0.0,0.005,0.001
15,0.921,0.071,0.001,0.0,0.006,0.001
16,0.92,0.068,0.005,0.0,0.005,0.001
17,0.919,0.067,0.007,0.0,0.007,0.002
18,0.918,0.064,0.011,0.0,0.008,0.003
19,0.917,0.063,0.013,0.0,0.009,0.003
20,0.916,0.061,0.016,0.0,0.011,0.002
21,0.915,0.056,0.022,0.0,0.011,0.002
22,0.914,0.052,0.027,0.0,0.008,0.004
23,0.913,0.051,0.029,0.0,0.008,0.005
24,0.913,0.047,0.033,0.0,0.008,0.006
25,0.912,0.042,0.039,0.0,0.007,0.005
26,0.911,0.037,0.045,0.0,0.005,0.003
27,0.91,0.034,0.049,0.0,0.005,0.003
28,0.909,0.032,0.052,0.0,0.006,0.004
29,0.909,0.03,0.054,0.0,0.005,0.003
30,0.908,0.028,0.057,0.0,0.003,0.002
31,0.907,0.024,0.062,0.0,0.002,0.002
32,0.906,0.022,0.065,0.0,0.001,0.001
33,0.905,0.022,0.066,0.0,0.002,0.001
34,0.905,0.022,0.066,0.0,0.002,0.001
35,0.904,0.022,0.067,0.0,0.002,0.001
36,0.903,0.022,0.068,0.0,0.002,0.001
37,0.902,0.022,0.069,0.0,0.002,0.001
38,0.901,0.022,0.07,0.0,0.002,0.001
39,0.9,0.022,0.071,0.0,0.002,0.001
40,0.899,0.02,0.074,0.0,0.002,0.001
41,0.898,0.02,0.075,0.0,0.002,0.001
42,0.897,0.021,0.075,0.0,0.002,0.001
43,0.897,0.019,0.077,0.0,0.001,0.001
44,0.897,0.019,0.077,0.0,0.001,0.001
45,0.896,0.018,0.079,0.0,0.001,0.001
46,0.895,0.019,0.079,0.0,0.001,0.001
47,0.894,0.019,0.08,0.0,0.001,0.0
48,0.893,0.018,0.082,0.0,0.001,0.0
49,0.892,0.018,0.083,0.0,0.001,0.0
50,0.891,0.017,0.085,0.0,0.0,0.0
51,0.89,0.016,0.087,0.0,0.0,0.0
52,0.889,0.017,0.087,0.0,0.0,0.0
53,0.888,0.018,0.087,0.0,0.0,0.0
54,0.887,0.017,0.089,0.0,0.0,0.0
55,0.886,0.018,0.089,0.0,0.0,0.0
56,0.885,0.018,0.09,0.0,0.0,0.0
57,0.884,0.019,0.09,0.0,0.0,0.0
58,0.884,0.019,0.09,0.0,0.001,0.0
59,0.883,0.019,0.091,0.0,0.001,0.0
60,0.882,0.02,0.091,0.0,0.001,0.0
61,0.881,0.019,0.093,0.0,0.0,0.0
62,0.88,0.02,0.093,0.0,0.0,0.0
63,0.879,0.02,0.094,0.0,0.0,0.0
64,0.878,0.021,0.094,0.0,0.0,0.0
65,0.877,0.02,0.096,0.0,0.0,0.0
66,0.876,0.02,0.097,0.0,0.0,0.0
67,0.875,0.021,0.097,0.0,0.0,0.0
68,0.874,0.021,0.098,0.0,0.0,0.0
69,0.873,0.021,0.099,0.0,0.001,0.0
70,0.872,0.02,0.101,0.0,0.001,0.0
71,0.872,0.02,0.101,0.0,0.001,0.0
72,0.871,0.021,0.101,0.0,0.001,0.0
73,0.87,0.022,0.101,0.0,0.001,0.0
74,0.869,0.022,0.102,0.0,0.001,0.0
75,0.868,0.021,0.104,0.0,0.001,0.0
76,0.867,0.022,0.104,0.0,0.001,0.0
77,0.867,0.02,0.106,0.0,0.001,0.0
78,0.867,0.02,0.106,0.0,0.002,0.0
79,0.866,0.019,0.108,0.0,0.002,0.0
80,0.865,0.02,0.108,0.0,0.003,0.001
81,0.864,0.021,0.108,0.0,0.003,0.001
82,0.863,0.02,0.11,0.0,0.003,0.001
83,0.862,0.02,0.111,0.0,0.003,0.001
84,0.861,0.019,0.113,0.0,0.003,0.001
85,0.86,0.019,0.114,0.0,0.002,0.0
86,0.859,0.018,0.116,0.0,0.001,0.0
87,0.858,0.019,0.116,0.0,0.001,0.0
88,0.858,0.018,0.117,0.0,0.001,0.0
89,0.857,0.018,0.118,0.0,0.001,0.0
