Date Reported,Nomes de medida,Valores de medida
12/01/2021,Serology Tests,448
11/01/2021,Confirmed Cases,2.211
11/01/2021,PCR Tests,15.660
11/01/2021,* Antigen Tests,13.999
11/01/2021,Serology Tests,341
10/01/2021,Confirmed Cases,1.681
10/01/2021,PCR Tests,10.780
10/01/2021,* Antigen Tests,2.461
10/01/2021,Serology Tests,566
09/01/2021,Confirmed Cases,2.365
09/01/2021,PCR Tests,15.707
09/01/2021,* Antigen Tests,3.725
09/01/2021,Serology Tests,1.836
08/01/2021,Confirmed Cases,3.939
08/01/2021,PCR Tests,27.711
08/01/2021,* Antigen Tests,12.211
08/01/2021,Serology Tests,1.247
07/01/2021,Confirmed Cases,4.105
07/01/2021,PCR Tests,25.498
07/01/2021,* Antigen Tests,11.882
07/01/2021,Serology Tests,524
06/01/2021,Confirmed Cases,4.072
06/01/2021,PCR Tests,24.592
06/01/2021,* Antigen Tests,10.308
06/01/2021,Serology Tests,657
05/01/2021,Confirmed Cases,3.150
05/01/2021,PCR Tests,14.285
05/01/2021,* Antigen Tests,11.432
05/01/2021,Serology Tests,1.158
04/01/2021,Confirmed Cases,2.476
04/01/2021,PCR Tests,13.825
04/01/2021,* Antigen Tests,7.468
04/01/2021,Serology Tests,334
03/01/2021,Confirmed Cases,1.602
03/01/2021,PCR Tests,7.762
03/01/2021,* Antigen Tests,4.032
03/01/2021,Serology Tests,1.896
02/01/2021,Confirmed Cases,2.123
02/01/2021,PCR Tests,10.672
02/01/2021,* Antigen Tests,3.818
02/01/2021,Serology Tests,1.600
01/01/2021,Confirmed Cases,1.898
01/01/2021,PCR Tests,12.179
01/01/2021,* Antigen Tests,1.662
01/01/2021,Serology Tests,342
31/12/2020,Confirmed Cases,4.004
31/12/2020,PCR Tests,24.191
31/12/2020,* Antigen Tests,11.986
31/12/2020,Serology Tests,476
30/12/2020,Confirmed Cases,4.256
30/12/2020,PCR Tests,22.438
30/12/2020,* Antigen Tests,9.505
30/12/2020,Serology Tests,578
29/12/2020,Confirmed Cases,3.135
29/12/2020,PCR Tests,16.795
29/12/2020,* Antigen Tests,14.081
29/12/2020,Serology Tests,374
28/12/2020,Confirmed Cases,2.801
28/12/2020,PCR Tests,20.091
28/12/2020,* Antigen Tests,9.657
28/12/2020,Serology Tests,196
27/12/2020,Confirmed Cases,1.446
27/12/2020,PCR Tests,6.599
27/12/2020,* Antigen Tests,2.141
27/12/2020,Serology Tests,208
26/12/2020,Confirmed Cases,1.592
26/12/2020,PCR Tests,9.590
26/12/2020,* Antigen Tests,1.396
26/12/2020,Serology Tests,174
25/12/2020,Confirmed Cases,1.549
25/12/2020,PCR Tests,11.763
25/12/2020,* Antigen Tests,928
25/12/2020,Serology Tests,296
24/12/2020,Confirmed Cases,1.976
24/12/2020,PCR Tests,17.697
24/12/2020,* Antigen Tests,5.068
24/12/2020,Serology Tests,491
23/12/2020,Confirmed Cases,3.002
23/12/2020,PCR Tests,20.148
23/12/2020,* Antigen Tests,10.743
23/12/2020,Serology Tests,980
22/12/2020,Confirmed Cases,3.425
22/12/2020,PCR Tests,19.602
22/12/2020,* Antigen Tests,8.641
22/12/2020,Serology Tests,637
21/12/2020,Confirmed Cases,2.373
21/12/2020,PCR Tests,15.050
21/12/2020,* Antigen Tests,9.626
21/12/2020,Serology Tests,706
20/12/2020,Confirmed Cases,3.079
20/12/2020,PCR Tests,18.148
20/12/2020,* Antigen Tests,5.624
20/12/2020,Serology Tests,864
19/12/2020,Confirmed Cases,1.970
19/12/2020,PCR Tests,12.620
19/12/2020,* Antigen Tests,5.888
19/12/2020,Serology Tests,613
18/12/2020,Confirmed Cases,2.775
18/12/2020,PCR Tests,18.179
18/12/2020,* Antigen Tests,7.474
18/12/2020,Serology Tests,982
17/12/2020,Confirmed Cases,3.619
17/12/2020,PCR Tests,23.089
17/12/2020,* Antigen Tests,7.813
17/12/2020,Serology Tests,690
16/12/2020,Confirmed Cases,3.742
16/12/2020,PCR Tests,25.076
16/12/2020,* Antigen Tests,13.001
16/12/2020,Serology Tests,632
15/12/2020,Confirmed Cases,2.781
15/12/2020,PCR Tests,17.119
15/12/2020,* Antigen Tests,7.645
15/12/2020,Serology Tests,441
14/12/2020,Confirmed Cases,2.899
14/12/2020,PCR Tests,18.742
14/12/2020,* Antigen Tests,8.093
14/12/2020,Serology Tests,391
13/12/2020,Confirmed Cases,2.817
13/12/2020,PCR Tests,16.133
13/12/2020,* Antigen Tests,2.401
13/12/2020,Serology Tests,355
12/12/2020,Confirmed Cases,2.582
12/12/2020,PCR Tests,17.620
12/12/2020,* Antigen Tests,18.986
12/12/2020,Serology Tests,531
11/12/2020,Confirmed Cases,3.819
11/12/2020,PCR Tests,20.809
11/12/2020,* Antigen Tests,25.769
11/12/2020,Serology Tests,745
10/12/2020,Confirmed Cases,3.887
10/12/2020,PCR Tests,24.181
10/12/2020,* Antigen Tests,14.956
10/12/2020,Serology Tests,581
09/12/2020,Confirmed Cases,4.146
09/12/2020,PCR Tests,25.136
09/12/2020,* Antigen Tests,10.455
09/12/2020,Serology Tests,568
08/12/2020,Confirmed Cases,2.854
08/12/2020,PCR Tests,16.567
08/12/2020,* Antigen Tests,5.684
08/12/2020,Serology Tests,283
07/12/2020,Confirmed Cases,3.019
07/12/2020,PCR Tests,18.541
07/12/2020,* Antigen Tests,5.734
07/12/2020,Serology Tests,520
06/12/2020,Confirmed Cases,2.583
06/12/2020,PCR Tests,13.859
06/12/2020,* Antigen Tests,1.826
06/12/2020,Serology Tests,210
05/12/2020,Confirmed Cases,3.398
05/12/2020,PCR Tests,20.335
05/12/2020,* Antigen Tests,3.303
05/12/2020,Serology Tests,506
04/12/2020,Confirmed Cases,5.288
04/12/2020,PCR Tests,26.272
04/12/2020,* Antigen Tests,4.674
04/12/2020,Serology Tests,453
03/12/2020,Confirmed Cases,3.965
03/12/2020,PCR Tests,22.973
03/12/2020,* Antigen Tests,5.846
03/12/2020,Serology Tests,564
02/12/2020,Confirmed Cases,4.177
02/12/2020,PCR Tests,21.833
02/12/2020,* Antigen Tests,5.501
02/12/2020,Serology Tests,504
01/12/2020,Confirmed Cases,2.804
01/12/2020,PCR Tests,14.247
01/12/2020,* Antigen Tests,7.150
01/12/2020,Serology Tests,271
30/11/2020,Confirmed Cases,2.785
30/11/2020,PCR Tests,14.934
30/11/2020,* Antigen Tests,3.709
30/11/2020,Serology Tests,208
29/11/2020,Confirmed Cases,3.992
29/11/2020,PCR Tests,17.863
29/11/2020,* Antigen Tests,825
29/11/2020,Serology Tests,170
28/11/2020,Confirmed Cases,3.043
28/11/2020,PCR Tests,14.395
28/11/2020,* Antigen Tests,851
28/11/2020,Serology Tests,299
27/11/2020,Confirmed Cases,2.194
27/11/2020,PCR Tests,15.516
27/11/2020,* Antigen Tests,2.887
27/11/2020,Serology Tests,223
26/11/2020,Confirmed Cases,2.448
26/11/2020,PCR Tests,14.899
26/11/2020,* Antigen Tests,3.578
26/11/2020,Serology Tests,371
25/11/2020,Confirmed Cases,5.098
25/11/2020,PCR Tests,25.933
25/11/2020,* Antigen Tests,6.481
25/11/2020,Serology Tests,590
24/11/2020,Confirmed Cases,4.306
24/11/2020,PCR Tests,24.009
24/11/2020,* Antigen Tests,2.695
24/11/2020,Serology Tests,455
23/11/2020,Confirmed Cases,3.356
23/11/2020,PCR Tests,19.198
23/11/2020,* Antigen Tests,3.707
23/11/2020,Serology Tests,272
22/11/2020,Confirmed Cases,3.938
22/11/2020,PCR Tests,19.581
22/11/2020,* Antigen Tests,936
22/11/2020,Serology Tests,278
21/11/2020,Confirmed Cases,3.982
21/11/2020,PCR Tests,22.008
21/11/2020,* Antigen Tests,1.019
21/11/2020,Serology Tests,534
20/11/2020,Confirmed Cases,4.695
20/11/2020,PCR Tests,24.965
20/11/2020,* Antigen Tests,2.254
20/11/2020,Serology Tests,612
19/11/2020,Confirmed Cases,4.762
19/11/2020,PCR Tests,25.824
19/11/2020,* Antigen Tests,2.861
19/11/2020,Serology Tests,442
18/11/2020,Confirmed Cases,4.379
18/11/2020,PCR Tests,22.042
18/11/2020,* Antigen Tests,3.316
18/11/2020,Serology Tests,400
17/11/2020,Confirmed Cases,4.687
17/11/2020,PCR Tests,20.005
17/11/2020,* Antigen Tests,2.560
17/11/2020,Serology Tests,363
16/11/2020,Confirmed Cases,4.255
16/11/2020,PCR Tests,18.855
16/11/2020,* Antigen Tests,5.969
16/11/2020,Serology Tests,187
15/11/2020,Confirmed Cases,4.276
15/11/2020,PCR Tests,17.380
15/11/2020,* Antigen Tests,797
15/11/2020,Serology Tests,180
14/11/2020,Confirmed Cases,4.300
14/11/2020,PCR Tests,18.275
14/11/2020,* Antigen Tests,770
14/11/2020,Serology Tests,400
13/11/2020,Confirmed Cases,5.904
13/11/2020,PCR Tests,25.738
13/11/2020,* Antigen Tests,6.014
13/11/2020,Serology Tests,315
12/11/2020,Confirmed Cases,4.162
12/11/2020,PCR Tests,16.491
12/11/2020,* Antigen Tests,4.597
12/11/2020,Serology Tests,346
11/11/2020,Confirmed Cases,4.963
11/11/2020,PCR Tests,21.941
11/11/2020,* Antigen Tests,3.103
11/11/2020,Serology Tests,351
10/11/2020,Confirmed Cases,4.007
10/11/2020,PCR Tests,18.428
10/11/2020,* Antigen Tests,2.278
10/11/2020,Serology Tests,271
09/11/2020,Confirmed Cases,3.706
09/11/2020,PCR Tests,16.674
09/11/2020,* Antigen Tests,922
09/11/2020,Serology Tests,154
08/11/2020,Confirmed Cases,3.548
08/11/2020,PCR Tests,13.825
08/11/2020,* Antigen Tests,552
08/11/2020,Serology Tests,128
07/11/2020,Confirmed Cases,3.955
07/11/2020,PCR Tests,19.674
07/11/2020,* Antigen Tests,773
07/11/2020,Serology Tests,316
06/11/2020,Confirmed Cases,4.021
06/11/2020,PCR Tests,21.209
06/11/2020,* Antigen Tests,2.720
06/11/2020,Serology Tests,278
05/11/2020,Confirmed Cases,4.146
05/11/2020,PCR Tests,24.720
05/11/2020,* Antigen Tests,1.625
05/11/2020,Serology Tests,339
04/11/2020,Confirmed Cases,3.920
04/11/2020,PCR Tests,24.051
04/11/2020,* Antigen Tests,5.229
04/11/2020,Serology Tests,278
03/11/2020,Confirmed Cases,2.921
03/11/2020,PCR Tests,28.419
03/11/2020,* Antigen Tests,1.497
03/11/2020,Serology Tests,267
02/11/2020,Confirmed Cases,2.212
02/11/2020,PCR Tests,12.954
02/11/2020,* Antigen Tests,1.107
02/11/2020,Serology Tests,138
01/11/2020,Confirmed Cases,2.582
01/11/2020,PCR Tests,16.121
01/11/2020,* Antigen Tests,806
01/11/2020,Serology Tests,194
31/10/2020,Confirmed Cases,2.101
31/10/2020,PCR Tests,17.229
31/10/2020,* Antigen Tests,732
31/10/2020,Serology Tests,207
30/10/2020,Confirmed Cases,2.908
30/10/2020,PCR Tests,25.593
30/10/2020,* Antigen Tests,1.677
30/10/2020,Serology Tests,328
29/10/2020,Confirmed Cases,2.702
29/10/2020,PCR Tests,21.508
29/10/2020,* Antigen Tests,2.019
29/10/2020,Serology Tests,282
28/10/2020,Confirmed Cases,2.771
28/10/2020,PCR Tests,19.401
28/10/2020,* Antigen Tests,3.400
28/10/2020,Serology Tests,261
27/10/2020,Confirmed Cases,2.235
27/10/2020,PCR Tests,16.313
