Date Reported,Nomes de medida,Valores de medida
15/08/2020,Confirmed Cases,1.287
15/08/2020,PCR Tests,13.824
15/08/2020,* Antigen Tests,241
15/08/2020,Serology Tests,299
14/08/2020,Confirmed Cases,1.079
14/08/2020,PCR Tests,13.432
14/08/2020,* Antigen Tests,27
14/08/2020,Serology Tests,482
13/08/2020,Confirmed Cases,1.449
13/08/2020,PCR Tests,18.544
13/08/2020,* Antigen Tests,59
13/08/2020,Serology Tests,640
12/08/2020,Confirmed Cases,1.280
12/08/2020,PCR Tests,18.021
12/08/2020,* Antigen Tests,80
12/08/2020,Serology Tests,417
11/08/2020,Confirmed Cases,1.242
11/08/2020,PCR Tests,10.247
11/08/2020,* Antigen Tests,47
11/08/2020,Serology Tests,303
10/08/2020,Confirmed Cases,1.195
10/08/2020,PCR Tests,11.814
10/08/2020,* Antigen Tests,14
10/08/2020,Serology Tests,120
09/08/2020,Confirmed Cases,697
09/08/2020,PCR Tests,16.437
09/08/2020,* Antigen Tests,3
09/08/2020,Serology Tests,378
08/08/2020,Confirmed Cases,690
08/08/2020,PCR Tests,11.468
08/08/2020,* Antigen Tests,11
08/08/2020,Serology Tests,327
07/08/2020,Confirmed Cases,1.098
07/08/2020,PCR Tests,13.043
07/08/2020,* Antigen Tests,57
07/08/2020,Serology Tests,440
06/08/2020,Confirmed Cases,954
06/08/2020,PCR Tests,18.477
06/08/2020,* Antigen Tests,26
06/08/2020,Serology Tests,469
05/08/2020,Confirmed Cases,1.188
05/08/2020,PCR Tests,17.469
05/08/2020,* Antigen Tests,40
05/08/2020,Serology Tests,498
04/08/2020,Confirmed Cases,1.123
04/08/2020,PCR Tests,12.282
04/08/2020,* Antigen Tests,34
04/08/2020,Serology Tests,280
03/08/2020,Confirmed Cases,1.166
03/08/2020,PCR Tests,16.385
03/08/2020,* Antigen Tests,142
03/08/2020,Serology Tests,143
02/08/2020,Confirmed Cases,806
02/08/2020,PCR Tests,15.541
02/08/2020,* Antigen Tests,1
02/08/2020,Serology Tests,457
01/08/2020,Confirmed Cases,469
01/08/2020,PCR Tests,6.860
01/08/2020,* Antigen Tests,16
01/08/2020,Serology Tests,108
31/07/2020,Confirmed Cases,1.172
31/07/2020,PCR Tests,15.184
31/07/2020,* Antigen Tests,43
31/07/2020,Serology Tests,266
30/07/2020,Confirmed Cases,1.505
30/07/2020,PCR Tests,15.412
30/07/2020,* Antigen Tests,41
30/07/2020,Serology Tests,411
29/07/2020,Confirmed Cases,2.306
29/07/2020,PCR Tests,20.950
29/07/2020,* Antigen Tests,48
29/07/2020,Serology Tests,424
28/07/2020,Confirmed Cases,1.929
28/07/2020,PCR Tests,11.734
28/07/2020,* Antigen Tests,30
28/07/2020,Serology Tests,385
27/07/2020,Confirmed Cases,1.545
27/07/2020,PCR Tests,16.150
27/07/2020,* Antigen Tests,32
27/07/2020,Serology Tests,380
26/07/2020,Confirmed Cases,991
26/07/2020,PCR Tests,25.586
26/07/2020,* Antigen Tests,102
26/07/2020,Serology Tests,683
25/07/2020,Confirmed Cases,1.238
25/07/2020,PCR Tests,10.252
25/07/2020,* Antigen Tests,55
25/07/2020,Serology Tests,341
24/07/2020,Confirmed Cases,1.697
24/07/2020,PCR Tests,10.454
24/07/2020,* Antigen Tests,21
24/07/2020,Serology Tests,365
23/07/2020,Confirmed Cases,1.735
23/07/2020,PCR Tests,12.815
23/07/2020,* Antigen Tests,17
23/07/2020,Serology Tests,523
22/07/2020,Confirmed Cases,1.408
22/07/2020,PCR Tests,20.461
22/07/2020,* Antigen Tests,50
22/07/2020,Serology Tests,674
21/07/2020,Confirmed Cases,1.096
21/07/2020,PCR Tests,13.065
21/07/2020,* Antigen Tests,52
21/07/2020,Serology Tests,639
20/07/2020,Confirmed Cases,1.065
20/07/2020,PCR Tests,11.687
20/07/2020,* Antigen Tests,43
20/07/2020,Serology Tests,234
19/07/2020,Confirmed Cases,555
19/07/2020,PCR Tests,18.273
19/07/2020,* Antigen Tests,21
19/07/2020,Serology Tests,1.269
18/07/2020,Confirmed Cases,782
18/07/2020,PCR Tests,11.018
18/07/2020,* Antigen Tests,8
18/07/2020,Serology Tests,594
17/07/2020,Confirmed Cases,991
17/07/2020,PCR Tests,19.245
17/07/2020,* Antigen Tests,23
17/07/2020,Serology Tests,698
16/07/2020,Confirmed Cases,708
16/07/2020,PCR Tests,11.843
16/07/2020,* Antigen Tests,45
16/07/2020,Serology Tests,189
15/07/2020,Confirmed Cases,604
15/07/2020,PCR Tests,14.956
15/07/2020,* Antigen Tests,44
15/07/2020,Serology Tests,599
14/07/2020,Confirmed Cases,855
14/07/2020,PCR Tests,16.958
14/07/2020,* Antigen Tests,57
14/07/2020,Serology Tests,335
13/07/2020,Confirmed Cases,884
13/07/2020,PCR Tests,12.902
13/07/2020,* Antigen Tests,33
13/07/2020,Serology Tests,608
12/07/2020,Confirmed Cases,343
12/07/2020,PCR Tests,14.020
12/07/2020,* Antigen Tests,3
12/07/2020,Serology Tests,391
11/07/2020,Confirmed Cases,313
11/07/2020,PCR Tests,14.897
11/07/2020,* Antigen Tests,24
11/07/2020,Serology Tests,726
10/07/2020,Confirmed Cases,533
10/07/2020,PCR Tests,12.979
10/07/2020,* Antigen Tests,40
10/07/2020,Serology Tests,557
09/07/2020,Confirmed Cases,621
09/07/2020,PCR Tests,12.264
09/07/2020,* Antigen Tests,33
09/07/2020,Serology Tests,629
08/07/2020,Confirmed Cases,726
08/07/2020,PCR Tests,16.887
08/07/2020,* Antigen Tests,39
08/07/2020,Serology Tests,679
07/07/2020,Confirmed Cases,557
07/07/2020,PCR Tests,8.131
07/07/2020,* Antigen Tests,67
07/07/2020,Serology Tests,294
06/07/2020,Confirmed Cases,646
06/07/2020,PCR Tests,11.725
06/07/2020,* Antigen Tests,11
06/07/2020,Serology Tests,345
05/07/2020,Confirmed Cases,294
05/07/2020,PCR Tests,9.955
05/07/2020,* Antigen Tests,
05/07/2020,Serology Tests,352
04/07/2020,Confirmed Cases,229
04/07/2020,PCR Tests,9.001
04/07/2020,* Antigen Tests,3
04/07/2020,Serology Tests,435
03/07/2020,Confirmed Cases,436
03/07/2020,PCR Tests,10.437
03/07/2020,* Antigen Tests,3
03/07/2020,Serology Tests,929
02/07/2020,Confirmed Cases,398
02/07/2020,PCR Tests,10.280
02/07/2020,* Antigen Tests,20
02/07/2020,Serology Tests,886
01/07/2020,Confirmed Cases,371
01/07/2020,PCR Tests,10.069
01/07/2020,* Antigen Tests,10
01/07/2020,Serology Tests,673
30/06/2020,Confirmed Cases,248
30/06/2020,PCR Tests,21.397
30/06/2020,* Antigen Tests,35
30/06/2020,Serology Tests,516
29/06/2020,Confirmed Cases,481
29/06/2020,PCR Tests,7.503
29/06/2020,* Antigen Tests,3
29/06/2020,Serology Tests,592
28/06/2020,Confirmed Cases,487
28/06/2020,PCR Tests,7.794
28/06/2020,* Antigen Tests,7
28/06/2020,Serology Tests,515
27/06/2020,Confirmed Cases,237
27/06/2020,PCR Tests,7.204
27/06/2020,* Antigen Tests,5
27/06/2020,Serology Tests,393
26/06/2020,Confirmed Cases,370
26/06/2020,PCR Tests,8.755
26/06/2020,* Antigen Tests,19
26/06/2020,Serology Tests,657
25/06/2020,Confirmed Cases,451
25/06/2020,PCR Tests,9.517
25/06/2020,* Antigen Tests,10
25/06/2020,Serology Tests,1.017
24/06/2020,Confirmed Cases,455
24/06/2020,PCR Tests,18.960
24/06/2020,* Antigen Tests,18
24/06/2020,Serology Tests,1.582
23/06/2020,Confirmed Cases,289
23/06/2020,PCR Tests,5.962
23/06/2020,* Antigen Tests,18
23/06/2020,Serology Tests,156
22/06/2020,Confirmed Cases,390
22/06/2020,PCR Tests,6.576
22/06/2020,* Antigen Tests,19
22/06/2020,Serology Tests,440
21/06/2020,Confirmed Cases,358
21/06/2020,PCR Tests,3.049
21/06/2020,* Antigen Tests,2
21/06/2020,Serology Tests,34
20/06/2020,Confirmed Cases,180
20/06/2020,PCR Tests,11.555
20/06/2020,* Antigen Tests,1
20/06/2020,Serology Tests,952
19/06/2020,Confirmed Cases,471
19/06/2020,PCR Tests,600
19/06/2020,* Antigen Tests,3
19/06/2020,Serology Tests,40
18/06/2020,Confirmed Cases,175
18/06/2020,PCR Tests,11.085
18/06/2020,* Antigen Tests,7
18/06/2020,Serology Tests,546
17/06/2020,Confirmed Cases,303
17/06/2020,PCR Tests,9.065
17/06/2020,* Antigen Tests,14
17/06/2020,Serology Tests,736
16/06/2020,Confirmed Cases,190
16/06/2020,PCR Tests,7.458
16/06/2020,* Antigen Tests,6
16/06/2020,Serology Tests,387
15/06/2020,Confirmed Cases,280
15/06/2020,PCR Tests,6.382
15/06/2020,* Antigen Tests,6
15/06/2020,Serology Tests,536
14/06/2020,Confirmed Cases,191
14/06/2020,PCR Tests,5.637
14/06/2020,* Antigen Tests,1
14/06/2020,Serology Tests,142
13/06/2020,Confirmed Cases,145
13/06/2020,PCR Tests,6.761
13/06/2020,* Antigen Tests,
13/06/2020,Serology Tests,722
12/06/2020,Confirmed Cases,244
12/06/2020,PCR Tests,6.132
12/06/2020,* Antigen Tests,13
12/06/2020,Serology Tests,1.114
11/06/2020,Confirmed Cases,187
11/06/2020,PCR Tests,7.813
11/06/2020,* Antigen Tests,5
11/06/2020,Serology Tests,968
10/06/2020,Confirmed Cases,242
10/06/2020,PCR Tests,9.589
10/06/2020,* Antigen Tests,6
10/06/2020,Serology Tests,1.022
09/06/2020,Confirmed Cases,221
09/06/2020,PCR Tests,7.469
09/06/2020,* Antigen Tests,14
09/06/2020,Serology Tests,737
08/06/2020,Confirmed Cases,190
08/06/2020,PCR Tests,8.955
08/06/2020,* Antigen Tests,9
08/06/2020,Serology Tests,462
07/06/2020,Confirmed Cases,177
07/06/2020,PCR Tests,5.195
07/06/2020,* Antigen Tests,
07/06/2020,Serology Tests,371
06/06/2020,Confirmed Cases,84
06/06/2020,PCR Tests,7.646
06/06/2020,* Antigen Tests,17
06/06/2020,Serology Tests,734
05/06/2020,Confirmed Cases,197
05/06/2020,PCR Tests,5.187
05/06/2020,* Antigen Tests,14
05/06/2020,Serology Tests,787
04/06/2020,Confirmed Cases,201
04/06/2020,PCR Tests,6.603
04/06/2020,* Antigen Tests,11
04/06/2020,Serology Tests,639
03/06/2020,Confirmed Cases,256
03/06/2020,PCR Tests,7.930
03/06/2020,* Antigen Tests,22
03/06/2020,Serology Tests,1.118
02/06/2020,Confirmed Cases,238
02/06/2020,PCR Tests,6.074
02/06/2020,* Antigen Tests,9
02/06/2020,Serology Tests,861
01/06/2020,Confirmed Cases,222
01/06/2020,PCR Tests,6.894
01/06/2020,* Antigen Tests,
01/06/2020,Serology Tests,654
31/05/2020,Confirmed Cases,241
31/05/2020,PCR Tests,6.188
31/05/2020,* Antigen Tests,
31/05/2020,Serology Tests,144
30/05/2020,Confirmed Cases,113
30/05/2020,PCR Tests,7.766
30/05/2020,* Antigen Tests,
30/05/2020,Serology Tests,837
29/05/2020,Confirmed Cases,173
29/05/2020,PCR Tests,8.296
29/05/2020,* Antigen Tests,1
29/05/2020,Serology Tests,1.075
28/05/2020,Confirmed Cases,146
28/05/2020,PCR Tests,7.716
28/05/2020,* Antigen Tests,
28/05/2020,Serology Tests,993
27/05/2020,Confirmed Cases,151
27/05/2020,PCR Tests,7.143
27/05/2020,* Antigen Tests,
27/05/2020,Serology Tests,1.081
26/05/2020,Confirmed Cases,198
26/05/2020,PCR Tests,6.061
26/05/2020,* Antigen Tests,
26/05/2020,Serology Tests,111
25/05/2020,Confirmed Cases,168
25/05/2020,PCR Tests,3.437
25/05/2020,* Antigen Tests,1
25/05/2020,Serology Tests,534
24/05/2020,Confirmed Cases,141
24/05/2020,PCR Tests,6.032
24/05/2020,* Antigen Tests,
24/05/2020,Serology Tests,526
23/05/2020,Confirmed Cases,175
23/05/2020,PCR Tests,4.022
23/05/2020,* Antigen Tests,
23/05/2020,Serology Tests,1.139
22/05/2020,Confirmed Cases,224
22/05/2020,PCR Tests,5.331
22/05/2020,* Antigen Tests,
22/05/2020,Serology Tests,1.580
21/05/2020,Confirmed Cases,209
21/05/2020,PCR Tests,5.299
21/05/2020,* Antigen Tests,
21/05/2020,Serology Tests,1.132
20/05/2020,Confirmed Cases,133
20/05/2020,PCR Tests,8.192
20/05/2020,* Antigen Tests,
20/05/2020,Serology Tests,2.189
19/05/2020,Confirmed Cases,138
19/05/2020,PCR Tests,4.028
19/05/2020,* Antigen Tests,
19/05/2020,Serology Tests,260
18/05/2020,Confirmed Cases,149
18/05/2020,PCR Tests,3.409
18/05/2020,* Antigen Tests,
18/05/2020,Serology Tests,549
17/05/2020,Confirmed Cases,143
17/05/2020,PCR Tests,2.354
17/05/2020,* Antigen Tests,
17/05/2020,Serology Tests,555
16/05/2020,Confirmed Cases,128
16/05/2020,PCR Tests,3.243
16/05/2020,* Antigen Tests,
16/05/2020,Serology Tests,1.279
15/05/2020,Confirmed Cases,226
15/05/2020,PCR Tests,5.028
15/05/2020,* Antigen Tests,
15/05/2020,Serology Tests,1.622
14/05/2020,Confirmed Cases,191
14/05/2020,PCR Tests,4.114
14/05/2020,* Antigen Tests,
14/05/2020,Serology Tests,981
13/05/2020,Confirmed Cases,173
13/05/2020,PCR Tests,7.594
13/05/2020,* Antigen Tests,
13/05/2020,Serology Tests,1.958
12/05/2020,Confirmed Cases,126
12/05/2020,PCR Tests,2.548
12/05/2020,* Antigen Tests,1
12/05/2020,Serology Tests,482
11/05/2020,Confirmed Cases,106
11/05/2020,PCR Tests,3.324
11/05/2020,* Antigen Tests,
11/05/2020,Serology Tests,387
10/05/2020,Confirmed Cases,63
10/05/2020,PCR Tests,3.487
10/05/2020,* Antigen Tests,
10/05/2020,Serology Tests,353
09/05/2020,Confirmed Cases,195
09/05/2020,PCR Tests,3.889
09/05/2020,* Antigen Tests,
09/05/2020,Serology Tests,724
08/05/2020,Confirmed Cases,157
08/05/2020,PCR Tests,3.738
08/05/2020,* Antigen Tests,1
08/05/2020,Serology Tests,474
07/05/2020,Confirmed Cases,191
07/05/2020,PCR Tests,3.325
07/05/2020,* Antigen Tests,
07/05/2020,Serology Tests,330
06/05/2020,Confirmed Cases,270
06/05/2020,PCR Tests,3.200
06/05/2020,* Antigen Tests,
06/05/2020,Serology Tests,229
05/05/2020,Confirmed Cases,192
05/05/2020,PCR Tests,5.386
05/05/2020,* Antigen Tests,
05/05/2020,Serology Tests,112
04/05/2020,Confirmed Cases,145
04/05/2020,PCR Tests,1.907
04/05/2020,* Antigen Tests,
04/05/2020,Serology Tests,185
03/05/2020,Confirmed Cases,352
03/05/2020,PCR Tests,4.710
03/05/2020,* Antigen Tests,
03/05/2020,Serology Tests,253
02/05/2020,Confirmed Cases,221
02/05/2020,PCR Tests,4.619
02/05/2020,* Antigen Tests,
02/05/2020,Serology Tests,387
01/05/2020,Confirmed Cases,294
01/05/2020,PCR Tests,3.171
01/05/2020,* Antigen Tests,
01/05/2020,Serology Tests,313
30/04/2020,Confirmed Cases,244
30/04/2020,PCR Tests,2.733
30/04/2020,* Antigen Tests,
30/04/2020,Serology Tests,287
29/04/2020,Confirmed Cases,154
29/04/2020,PCR Tests,2.530
29/04/2020,* Antigen Tests,
29/04/2020,Serology Tests,220
28/04/2020,Confirmed Cases,140
28/04/2020,PCR Tests,1.644
28/04/2020,* Antigen Tests,
28/04/2020,Serology Tests,38
27/04/2020,Confirmed Cases,126
27/04/2020,PCR Tests,2.805
27/04/2020,* Antigen Tests,
27/04/2020,Serology Tests,10
26/04/2020,Confirmed Cases,136
26/04/2020,PCR Tests,2.106
26/04/2020,* Antigen Tests,
26/04/2020,Serology Tests,200
25/04/2020,Confirmed Cases,192
25/04/2020,PCR Tests,2.627
25/04/2020,* Antigen Tests,1
25/04/2020,Serology Tests,170
24/04/2020,Confirmed Cases,217
24/04/2020,PCR Tests,3.912
24/04/2020,* Antigen Tests,
24/04/2020,Serology Tests,81
23/04/2020,Confirmed Cases,339
23/04/2020,PCR Tests,2.476
23/04/2020,* Antigen Tests,
23/04/2020,Serology Tests,15
22/04/2020,Confirmed Cases,161
22/04/2020,PCR Tests,1.690
22/04/2020,* Antigen Tests,
22/04/2020,Serology Tests,5
21/04/2020,Confirmed Cases,164
21/04/2020,PCR Tests,1.490
21/04/2020,* Antigen Tests,
21/04/2020,Serology Tests,10
20/04/2020,Confirmed Cases,163
20/04/2020,PCR Tests,848
20/04/2020,* Antigen Tests,
20/04/2020,Serology Tests,
19/04/2020,Confirmed Cases,106
19/04/2020,PCR Tests,21.094
19/04/2020,* Antigen Tests,
19/04/2020,Serology Tests,5
18/04/2020,Confirmed Cases,181
18/04/2020,PCR Tests,337
18/04/2020,* Antigen Tests,
18/04/2020,Serology Tests,
17/04/2020,Confirmed Cases,234
17/04/2020,PCR Tests,1.024
17/04/2020,* Antigen Tests,
17/04/2020,Serology Tests,
16/04/2020,Confirmed Cases,179
16/04/2020,PCR Tests,4.171
16/04/2020,* Antigen Tests,
16/04/2020,Serology Tests,
15/04/2020,Confirmed Cases,211
15/04/2020,PCR Tests,4.905
15/04/2020,* Antigen Tests,
15/04/2020,Serology Tests,
14/04/2020,Confirmed Cases,171
14/04/2020,PCR Tests,870
14/04/2020,* Antigen Tests,
14/04/2020,Serology Tests,
13/04/2020,Confirmed Cases,298
13/04/2020,PCR Tests,1.362
13/04/2020,* Antigen Tests,
13/04/2020,Serology Tests,3
12/04/2020,Confirmed Cases,173
12/04/2020,PCR Tests,426
12/04/2020,* Antigen Tests,
12/04/2020,Serology Tests,
11/04/2020,Confirmed Cases,171
11/04/2020,PCR Tests,402
11/04/2020,* Antigen Tests,
11/04/2020,Serology Tests,
10/04/2020,Confirmed Cases,269
10/04/2020,PCR Tests,1.193
10/04/2020,* Antigen Tests,
10/04/2020,Serology Tests,
09/04/2020,Confirmed Cases,248
09/04/2020,PCR Tests,1.788
09/04/2020,* Antigen Tests,
09/04/2020,Serology Tests,
08/04/2020,Confirmed Cases,195
08/04/2020,PCR Tests,839
08/04/2020,* Antigen Tests,
08/04/2020,Serology Tests,
07/04/2020,Confirmed Cases,288
07/04/2020,PCR Tests,1.472
07/04/2020,* Antigen Tests,
07/04/2020,Serology Tests,
06/04/2020,Confirmed Cases,326
06/04/2020,PCR Tests,922
06/04/2020,* Antigen Tests,
06/04/2020,Serology Tests,
05/04/2020,Confirmed Cases,296
05/04/2020,PCR Tests,754
05/04/2020,* Antigen Tests,
05/04/2020,Serology Tests,
04/04/2020,Confirmed Cases,70
04/04/2020,PCR Tests,276
04/04/2020,* Antigen Tests,
04/04/2020,Serology Tests,
03/04/2020,Confirmed Cases,224
03/04/2020,PCR Tests,378
03/04/2020,* Antigen Tests,
03/04/2020,Serology Tests,
02/04/2020,Confirmed Cases,249
02/04/2020,PCR Tests,301
02/04/2020,* Antigen Tests,
02/04/2020,Serology Tests,
01/04/2020,Confirmed Cases,304
01/04/2020,PCR Tests,322
01/04/2020,* Antigen Tests,
01/04/2020,Serology Tests,
31/03/2020,Confirmed Cases,308
31/03/2020,PCR Tests,329
31/03/2020,* Antigen Tests,
31/03/2020,Serology Tests,
30/03/2020,Confirmed Cases,198
30/03/2020,PCR Tests,208
30/03/2020,* Antigen Tests,
30/03/2020,Serology Tests,
29/03/2020,Confirmed Cases,87
29/03/2020,PCR Tests,94
29/03/2020,* Antigen Tests,
29/03/2020,Serology Tests,
28/03/2020,Confirmed Cases,57
28/03/2020,PCR Tests,61
28/03/2020,* Antigen Tests,
28/03/2020,Serology Tests,
27/03/2020,Confirmed Cases,175
27/03/2020,PCR Tests,187
27/03/2020,* Antigen Tests,
27/03/2020,Serology Tests,
26/03/2020,Confirmed Cases,163
26/03/2020,PCR Tests,177
26/03/2020,* Antigen Tests,
26/03/2020,Serology Tests,
25/03/2020,Confirmed Cases,111
25/03/2020,PCR Tests,119
25/03/2020,* Antigen Tests,1
25/03/2020,Serology Tests,
24/03/2020,Confirmed Cases,72
24/03/2020,PCR Tests,78
24/03/2020,* Antigen Tests,
24/03/2020,Serology Tests,
23/03/2020,Confirmed Cases,125
23/03/2020,PCR Tests,139
23/03/2020,* Antigen Tests,
23/03/2020,Serology Tests,
22/03/2020,Confirmed Cases,10
22/03/2020,PCR Tests,12
22/03/2020,* Antigen Tests,
22/03/2020,Serology Tests,
21/03/2020,Confirmed Cases,17
21/03/2020,PCR Tests,17
21/03/2020,* Antigen Tests,
21/03/2020,Serology Tests,
20/03/2020,Confirmed Cases,31
20/03/2020,PCR Tests,32
20/03/2020,* Antigen Tests,
20/03/2020,Serology Tests,
19/03/2020,Confirmed Cases,14
19/03/2020,PCR Tests,17
19/03/2020,* Antigen Tests,
19/03/2020,Serology Tests,
18/03/2020,Confirmed Cases,8
18/03/2020,PCR Tests,10
18/03/2020,* Antigen Tests,
18/03/2020,Serology Tests,
17/03/2020,Confirmed Cases,7
17/03/2020,PCR Tests,8
17/03/2020,* Antigen Tests,
17/03/2020,Serology Tests,
16/03/2020,Confirmed Cases,6
16/03/2020,PCR Tests,6
16/03/2020,* Antigen Tests,
16/03/2020,Serology Tests,
,Confirmed Cases,0
,PCR Tests,42.459
,* Antigen Tests,
,Serology Tests,
