,Susceptible,Infected,Recovered,Death,Hospitalization,Severe
0,0.979,0.009,0.0,0.0,0.0,0.0
1,0.971,0.017,0.0,0.0,0.0,0.0
2,0.959,0.029,0.0,0.0,0.0,0.0
3,0.955,0.033,0.0,0.0,0.0,0.0
4,0.954,0.034,0.0,0.0,0.0,0.0
5,0.952,0.036,0.0,0.0,0.0,0.0
6,0.951,0.037,0.0,0.0,0.0,0.0
7,0.95,0.038,0.0,0.0,0.0,0.0
8,0.949,0.039,0.0,0.0,0.002,0.0
9,0.948,0.04,0.0,0.0,0.003,0.0
10,0.947,0.041,0.0,0.0,0.004,0.0
11,0.946,0.042,0.0,0.0,0.004,0.001
12,0.945,0.043,0.0,0.0,0.004,0.001
13,0.944,0.044,0.0,0.0,0.005,0.001
14,0.943,0.045,0.0,0.0,0.005,0.001
15,0.942,0.046,0.0,0.0,0.006,0.001
16,0.941,0.046,0.001,0.0,0.007,0.002
17,0.94,0.044,0.004,0.0,0.006,0.003
18,0.939,0.045,0.004,0.0,0.006,0.003
19,0.938,0.044,0.006,0.0,0.006,0.003
20,0.937,0.041,0.01,0.0,0.004,0.003
21,0.936,0.041,0.011,0.0,0.004,0.002
22,0.935,0.038,0.015,0.0,0.004,0.002
23,0.934,0.037,0.017,0.0,0.005,0.002
24,0.933,0.035,0.02,0.0,0.004,0.001
25,0.932,0.034,0.022,0.0,0.004,0.003
26,0.931,0.033,0.024,0.0,0.005,0.003
27,0.93,0.033,0.025,0.0,0.005,0.003
28,0.929,0.03,0.029,0.0,0.005,0.004
29,0.928,0.028,0.032,0.0,0.005,0.004
30,0.927,0.026,0.035,0.0,0.004,0.003
31,0.926,0.024,0.038,0.0,0.002,0.001
32,0.925,0.023,0.04,0.0,0.002,0.001
33,0.924,0.022,0.042,0.0,0.002,0.001
34,0.923,0.022,0.043,0.0,0.001,0.0
35,0.922,0.022,0.044,0.0,0.001,0.0
36,0.921,0.023,0.044,0.0,0.001,0.0
37,0.92,0.023,0.045,0.0,0.001,0.0
38,0.919,0.022,0.047,0.0,0.001,0.0
39,0.918,0.021,0.049,0.0,0.002,0.0
40,0.917,0.021,0.05,0.0,0.001,0.0
41,0.916,0.021,0.051,0.0,0.001,0.0
42,0.915,0.022,0.051,0.0,0.003,0.0
43,0.915,0.021,0.052,0.0,0.004,0.001
44,0.914,0.021,0.053,0.0,0.003,0.001
45,0.913,0.021,0.054,0.0,0.004,0.001
46,0.912,0.022,0.054,0.0,0.004,0.001
47,0.911,0.023,0.054,0.0,0.004,0.002
48,0.91,0.024,0.054,0.0,0.004,0.002
49,0.909,0.024,0.055,0.0,0.005,0.002
50,0.908,0.023,0.057,0.0,0.005,0.002
51,0.907,0.023,0.058,0.0,0.005,0.003
52,0.907,0.021,0.06,0.0,0.004,0.003
53,0.906,0.022,0.06,0.0,0.005,0.003
54,0.905,0.021,0.062,0.0,0.004,0.002
55,0.904,0.019,0.065,0.0,0.004,0.002
56,0.903,0.02,0.065,0.0,0.004,0.002
57,0.902,0.02,0.066,0.0,0.003,0.002
58,0.901,0.021,0.066,0.0,0.006,0.002
59,0.9,0.02,0.068,0.0,0.005,0.002
60,0.899,0.021,0.068,0.0,0.005,0.002
61,0.898,0.022,0.068,0.0,0.005,0.003
62,0.897,0.021,0.07,0.0,0.003,0.002
63,0.897,0.02,0.071,0.0,0.002,0.001
64,0.896,0.021,0.071,0.0,0.002,0.001
65,0.895,0.021,0.072,0.0,0.003,0.001
66,0.894,0.022,0.072,0.0,0.003,0.002
67,0.894,0.02,0.074,0.0,0.003,0.002
68,0.893,0.02,0.075,0.0,0.003,0.002
69,0.892,0.019,0.077,0.0,0.004,0.002
70,0.891,0.02,0.077,0.0,0.004,0.002
71,0.89,0.02,0.078,0.0,0.004,0.003
72,0.889,0.019,0.08,0.0,0.003,0.002
73,0.888,0.018,0.082,0.0,0.002,0.001
74,0.887,0.018,0.083,0.0,0.002,0.001
75,0.886,0.019,0.083,0.0,0.002,0.002
76,0.885,0.019,0.084,0.0,0.001,0.001
77,0.884,0.019,0.085,0.0,0.003,0.001
78,0.883,0.018,0.087,0.0,0.002,0.001
79,0.882,0.018,0.088,0.0,0.002,0.001
80,0.881,0.019,0.088,0.0,0.002,0.001
81,0.88,0.019,0.089,0.0,0.001,0.001
82,0.879,0.02,0.089,0.0,0.002,0.001
83,0.878,0.02,0.09,0.0,0.002,0.001
84,0.878,0.02,0.09,0.0,0.002,0.001
85,0.877,0.02,0.091,0.0,0.001,0.0
86,0.876,0.019,0.093,0.0,0.001,0.0
87,0.875,0.019,0.094,0.0,0.001,0.0
88,0.874,0.019,0.095,0.0,0.001,0.0
89,0.873,0.02,0.095,0.0,0.001,0.0
