,Susceptible,Infected,Recovered,Death,Hospitalization,Severe
0,0.981,0.011,0.0,0.0,0.0,0.0
1,0.972,0.02,0.0,0.0,0.0,0.0
2,0.955,0.037,0.0,0.0,0.0,0.0
3,0.927,0.065,0.0,0.0,0.0,0.0
4,0.878,0.114,0.0,0.0,0.0,0.0
5,0.806,0.186,0.0,0.0,0.0,0.0
6,0.701,0.291,0.0,0.0,0.0,0.0
7,0.559,0.433,0.0,0.0,0.0,0.0
8,0.402,0.59,0.0,0.0,0.0,0.0
9,0.257,0.735,0.0,0.0,0.002,0.0
10,0.138,0.854,0.0,0.0,0.003,0.0
11,0.072,0.92,0.0,0.0,0.01,0.0
12,0.036,0.956,0.0,0.0,0.013,0.0
13,0.02,0.972,0.0,0.0,0.022,0.0
14,0.009,0.981,0.001,0.001,0.026,0.001
15,0.005,0.982,0.003,0.002,0.035,0.004
16,0.003,0.982,0.004,0.003,0.042,0.006
17,0.0,0.98,0.008,0.004,0.054,0.008
18,0.0,0.969,0.013,0.01,0.058,0.01
19,0.0,0.952,0.025,0.015,0.078,0.012
20,0.0,0.93,0.042,0.02,0.083,0.01
21,0.0,0.897,0.064,0.031,0.079,0.01
22,0.0,0.866,0.083,0.043,0.087,0.01
23,0.0,0.827,0.117,0.048,0.096,0.01
24,0.0,0.773,0.166,0.053,0.09,0.008
25,0.0,0.714,0.217,0.061,0.089,0.006
26,0.0,0.659,0.264,0.069,0.082,0.005
27,0.0,0.6,0.32,0.072,0.08,0.006
28,0.0,0.542,0.374,0.076,0.073,0.007
29,0.0,0.487,0.428,0.077,0.077,0.008
30,0.0,0.423,0.489,0.08,0.069,0.005
31,0.0,0.352,0.554,0.086,0.061,0.008
32,0.0,0.297,0.605,0.09,0.057,0.007
33,0.0,0.238,0.663,0.091,0.044,0.003
34,0.0,0.196,0.704,0.092,0.041,0.004
35,0.0,0.157,0.741,0.094,0.035,0.004
36,0.0,0.126,0.771,0.095,0.027,0.006
37,0.0,0.096,0.8,0.096,0.022,0.006
38,0.0,0.071,0.825,0.096,0.018,0.006
39,0.0,0.05,0.846,0.096,0.011,0.005
40,0.0,0.039,0.857,0.096,0.01,0.004
41,0.0,0.029,0.867,0.096,0.007,0.003
42,0.0,0.023,0.873,0.096,0.007,0.001
43,0.0,0.017,0.879,0.096,0.007,0.001
44,0.0,0.012,0.884,0.096,0.005,0.001
45,0.0,0.009,0.887,0.096,0.005,0.001
46,0.0,0.007,0.889,0.096,0.005,0.0
47,0.0,0.004,0.892,0.096,0.002,0.0
48,0.0,0.002,0.894,0.096,0.0,0.0
49,0.0,0.001,0.895,0.096,0.0,0.0
50,0.0,0.0,0.896,0.096,0.0,0.0
51,0.0,0.0,0.896,0.096,0.0,0.0
52,0.0,0.0,0.896,0.096,0.0,0.0
53,0.0,0.0,0.896,0.096,0.0,0.0
54,0.0,0.0,0.896,0.096,0.0,0.0
55,0.0,0.0,0.896,0.096,0.0,0.0
56,0.0,0.0,0.896,0.096,0.0,0.0
57,0.0,0.0,0.896,0.096,0.0,0.0
58,0.0,0.0,0.896,0.096,0.0,0.0
59,0.0,0.0,0.896,0.096,0.0,0.0
60,0.0,0.0,0.896,0.096,0.0,0.0
61,0.0,0.0,0.896,0.096,0.0,0.0
62,0.0,0.0,0.896,0.096,0.0,0.0
63,0.0,0.0,0.896,0.096,0.0,0.0
64,0.0,0.0,0.896,0.096,0.0,0.0
65,0.0,0.0,0.896,0.096,0.0,0.0
66,0.0,0.0,0.896,0.096,0.0,0.0
67,0.0,0.0,0.896,0.096,0.0,0.0
68,0.0,0.0,0.896,0.096,0.0,0.0
69,0.0,0.0,0.896,0.096,0.0,0.0
70,0.0,0.0,0.896,0.096,0.0,0.0
71,0.0,0.0,0.896,0.096,0.0,0.0
72,0.0,0.0,0.896,0.096,0.0,0.0
73,0.0,0.0,0.896,0.096,0.0,0.0
74,0.0,0.0,0.896,0.096,0.0,0.0
75,0.0,0.0,0.896,0.096,0.0,0.0
76,0.0,0.0,0.896,0.096,0.0,0.0
77,0.0,0.0,0.896,0.096,0.0,0.0
78,0.0,0.0,0.896,0.096,0.0,0.0
79,0.0,0.0,0.896,0.096,0.0,0.0
80,0.0,0.0,0.896,0.096,0.0,0.0
81,0.0,0.0,0.896,0.096,0.0,0.0
82,0.0,0.0,0.896,0.096,0.0,0.0
83,0.0,0.0,0.896,0.096,0.0,0.0
84,0.0,0.0,0.896,0.096,0.0,0.0
85,0.0,0.0,0.896,0.096,0.0,0.0
86,0.0,0.0,0.896,0.096,0.0,0.0
87,0.0,0.0,0.896,0.096,0.0,0.0
88,0.0,0.0,0.896,0.096,0.0,0.0
89,0.0,0.0,0.896,0.096,0.0,0.0
